POD/p,ap obs 1,ap obs 5,ap obs 9,ap obs 13,ap obs 17
8.471859296482412427e-01,3.949316836619908289e-01,3.719472485438937159e-01,3.555232804518638212e-01,3.437872196567204330e-01,3.354009927585969719e-01
8.521105527638190846e-01,3.965894199066002934e-01,3.731318157106121580e-01,3.563697355963598712e-01,3.443920703834451036e-01,3.358332004237027379e-01
8.570351758793970376e-01,3.982845389504290345e-01,3.743430954721110315e-01,3.572352787368008320e-01,3.450105608030632487e-01,3.362751545924626551e-01
8.619597989949748795e-01,4.000195917056061368e-01,3.755829106314829691e-01,3.581212123920294310e-01,3.456436216553472884e-01,3.367275203427977370e-01
8.668844221105528325e-01,4.017973927618256336e-01,3.768532724076719687e-01,3.590289737170416773e-01,3.462922798869103036e-01,3.371910314990687052e-01
8.718090452261306744e-01,4.036210589126419390e-01,3.781564079651753563e-01,3.599601541748626010e-01,3.469576727081213896e-01,3.376665006767136656e-01
8.767336683417086274e-01,4.054940550388096421e-01,3.794947932008626568e-01,3.609165229649950457e-01,3.476410643343519902e-01,3.381548312450265992e-01
8.816582914572864693e-01,4.074202491120914038e-01,3.808711920479993518e-01,3.619000551088623063e-01,3.483438660549669219e-01,3.386570316678386150e-01
8.865829145728643113e-01,4.094039785987720892e-01,3.822887039261489983e-01,3.629129653560440039e-01,3.490676604616740897e-01,3.391742328163492859e-01
8.915075376884422642e-01,4.114501312384603038e-01,3.837508214632122105e-01,3.639577494306640015e-01,3.498142309219204327e-01,3.397077090299057689e-01
8.964321608040201061e-01,4.135642441251846657e-01,3.852615012957207874e-01,3.650372346230957299e-01,3.505855977301635118e-01,3.402589039485862110e-01
9.013567839195980591e-01,4.157526263347421924e-01,3.868252516945565045e-01,3.661546424045971637e-01,3.513840628503576702e-01,3.408294624847993948e-01
9.062814070351759010e-01,4.180225121911480546e-01,3.884472420844271578e-01,3.673136666865487454e-01,3.522122658375902438e-01,3.414212707831604243e-01
9.112060301507538540e-01,4.203822549011443921e-01,3.901334414091112701e-01,3.685185726919875671e-01,3.530732544886291402e-01,3.420365067051922559e-01
9.161306532663316959e-01,4.228415741084456947e-01,3.918907950260827056e-01,3.697743233590477518e-01,3.539705751659210087e-01,3.426777043720671267e-01
9.210552763819095379e-01,4.254118765673272073e-01,3.937274538499620502e-01,3.710867430797999411e-01,3.549083898003130289e-01,3.433478377711414176e-01
9.259798994974874908e-01,4.281066776540163876e-01,3.956530755515501041e-01,3.724627329277863108e-01,3.558916296860081263e-01,3.440504306530849377e-01
9.309045226130653328e-01,4.309421645827036795e-01,3.976792270146095598e-01,3.739105582412179385e-01,3.569262009786439704e-01,3.447897033744668494e-01
9.358291457286432857e-01,4.339379630171417146e-01,3.998199321328581579e-01,3.754402400618025437e-01,3.580192644054001061e-01,3.455707727699670606e-01
