POD/p,ap obs 1,ap obs 5,ap obs 9,ap obs 13,ap obs 17
5.172361809045226133e-01,3.178034171237489880e-01,3.168337692650287085e-01,3.161408888261447170e-01,3.156457778451112195e-01,3.152919868159766437e-01
5.221608040201005663e-01,3.187749164965826276e-01,3.175279727387648743e-01,3.166369452070579849e-01,3.160002444278271483e-01,3.155452776980150476e-01
5.270854271356784082e-01,3.197470836781760029e-01,3.182226534080337954e-01,3.171333425771739045e-01,3.163549546709051308e-01,3.157987426922294616e-01
5.320100502512563612e-01,3.207200685266300422e-01,3.189179183568102149e-01,3.176301574553964113e-01,3.167099632523928676e-01,3.160524208698654025e-01
5.369346733668342031e-01,3.216940217800484669e-01,3.196138752978915365e-01,3.181274668099667857e-01,3.170653251714204424e-01,3.163063515316042462e-01
5.418592964824120450e-01,3.226690952223206232e-01,3.203106326913613966e-01,3.186253481431141066e-01,3.174210958086892131e-01,3.165605742507862086e-01
5.467839195979899980e-01,3.236454418518483478e-01,3.210082998651567210e-01,3.191238795772083359e-01,3.177773309880341790e-01,3.168151289174011564e-01
5.517085427135678399e-01,3.246232160537126377e-01,3.217069871380923707e-01,3.196231399426704978e-01,3.181340870392416198e-01,3.170700557829762012e-01
5.566331658291457929e-01,3.256025737757925476e-01,3.224068059457104729e-01,3.201232088679003551e-01,3.184914208623088605e-01,3.173253955064936349e-01
5.615577889447236348e-01,3.265836727093719971e-01,3.231078689693366868e-01,3.206241668714961413e-01,3.188493899933416698e-01,3.175811892014792082e-01
5.664824120603015878e-01,3.275666724747940406e-01,3.238102902687426399e-01,3.211260954570510640e-01,3.192080526722926304e-01,3.178374784844059109e-01
5.714070351758794297e-01,3.285517348127501291e-01,3.245141854188354213e-01,3.216290772108273965e-01,3.195674679127564199e-01,3.180943055245675222e-01
5.763316582914572717e-01,3.295390237818243140e-01,3.252196716508168328e-01,3.221331959026244030e-01,3.199276955740467110e-01,3.183517130955823560e-01
5.812562814070352246e-01,3.305287059629472002e-01,3.259268679982795791e-01,3.226385365901744406e-01,3.202887964357942763e-01,3.186097446286991763e-01
5.861809045226130666e-01,3.315209506714551502e-01,3.266358954487383892e-01,3.231451857274221240e-01,3.206508322753202633e-01,3.188684442680853048e-01
5.911055276381910195e-01,3.325159301774944232e-01,3.273468771011239231e-01,3.236532312770647457e-01,3.210138659480537560e-01,3.191278569282908761e-01
5.960301507537688614e-01,3.335138199355590083e-01,3.280599383298034577e-01,3.241627628277564122e-01,3.213779614712826138e-01,3.193880283540942999e-01
6.009547738693468144e-01,3.345147988240078640e-01,3.287752069557326462e-01,3.246738717164078247e-01,3.217431841115446778e-01,3.196490051829495860e-01
