POD/p,ap95 obs 1,ap95 obs 5,ap95 obs 9,ap95 obs 13,ap95 obs 17
6.945226130653266994e-01,3.702004318804458793e-01,3.583747634937438642e-01,3.498548502529413295e-01,3.436797064201680962e-01,3.392074202450771070e-01
6.994472361809045413e-01,3.713924808526142263e-01,3.592402941540263628e-01,3.504834442425838192e-01,3.441343586777431129e-01,3.395344803623102647e-01
7.043718592964824943e-01,3.725942527212203759e-01,3.601132034151506844e-01,3.511176453282765508e-01,3.445932182872613048e-01,3.398646420735572660e-01
7.092964824120603362e-01,3.738061319541952643e-01,3.609937740607506718e-01,3.517576626599830392e-01,3.450564399413454386e-01,3.401980191762322137e-01
7.142211055276381781e-01,3.750285202169178489e-01,3.618823016433145301e-01,3.524037149012100856e-01,3.455241853971178223e-01,3.405347306769843096e-01
7.191457286432161311e-01,3.762618375702415641e-01,3.627790953718217359e-01,3.530560308891106946e-01,3.459966239655271059e-01,3.408749011520557648e-01
7.240703517587939730e-01,3.775065237701148990e-01,3.636844790747109646e-01,3.537148503506808983e-01,3.464739330423294850e-01,3.412186611383674073e-01
7.289949748743719260e-01,3.787630396796019538e-01,3.645987922461907949e-01,3.543804246810137171e-01,3.469562986851511543e-01,3.415661475585958229e-01
7.339195979899497679e-01,3.800318688054648564e-01,3.655223911849084795e-01,3.550530177903227780e-01,3.474439162416145810e-01,3.419175041839186413e-01
7.388442211055277209e-01,3.813135189730313401e-01,3.664556502351524747e-01,3.557329070273074212e-01,3.479369910341522099e-01,3.422728821385779829e-01
7.437688442211055628e-01,3.826085241548587978e-01,3.673989631420890856e-01,3.564203841874245549e-01,3.484357391078650168e-01,3.426324404509511479e-01
7.486934673366834048e-01,3.839174464707788559e-01,3.683527445340700202e-01,3.571157566157694974e-01,3.489403880486322551e-01,3.429963466564467378e-01
7.536180904522613577e-01,3.852408783792891089e-01,3.693174315468170654e-01,3.578193484155918758e-01,3.494511778796569046e-01,3.433647774582665457e-01
7.585427135678391997e-01,3.865794450830318807e-01,3.702934856063434532e-01,3.585315017749972077e-01,3.499683620457695321e-01,3.437379194529113779e-01
7.634673366834171526e-01,3.879338071743163585e-01,3.712813943898600755e-01,3.592525784261667021e-01,3.504922084961320516e-01,3.441159699282854145e-01
7.683919597989949946e-01,3.893046635503916164e-01,3.722816739866948166e-01,3.599829612534959922e-01,3.510230008775225841e-01,3.444991377433880841e-01
7.733165829145729475e-01,3.906927546325671963e-01,3.732948712845082229e-01,3.607230560694803523e-01,3.515610398521823998e-01,3.448876442999143643e-01
7.782412060301507895e-01,3.920988659284210809e-01,3.743215666099056760e-01,3.614732935800135660e-01,3.521066445563186265e-01,3.452817246176403954e-01
7.831658291457286314e-01,3.935238319823947672e-01,3.753623766570365339e-01,3.622341315641146586e-01,3.526601542178406934e-01,3.456816285273091038e-01
7.880904522613065843e-01,3.949685407672240967e-01,3.764179577430775692e-01,3.630060572970471022e-01,3.532219299548444713e-01,3.460876219968968548e-01
7.930150753768844263e-01,3.964339385771356583e-01,3.774890094357846171e-01,3.637895902504797996e-01,3.537923567798381130e-01,3.464999886097127613e-01
7.979396984924623792e-01,3.979210354938233496e-01,3.785762786057779161e-01,3.645852851089091962e-01,3.543718458388420700e-01,3.469190312158387246e-01
8.028643216080402212e-01,3.994309115082644857e-01,3.796805639651608111e-01,3.653937351482188789e-01,3.549608369194434676e-01,3.473450737820711898e-01
8.077889447236181741e-01,4.009647233958871793e-01,3.808027211647902477e-01,3.662155760302348018e-01,3.555598012678129471e-01,3.477784634699069288e-01
8.127135678391960161e-01,4.025237124599987948e-01,3.819436685354223870e-01,3.670514900767501421e-01,3.561692447618410307e-01,3.482195729763918335e-01
8.176381909547738580e-01,4.041092132794454894e-01,3.831043935735788941e-01,3.679022110981270410e-01,3.567897114961924854e-01,3.486688031790384223e-01
8.225628140703518110e-01,4.057226636220688798e-01,3.842859602919652118e-01,3.687685298657298327e-01,3.574217878455929753e-01,3.491265861337840559e-01
8.274874371859296529e-01,4.073656157168041858e-01,3.854895175774739613e-01,3.696513003347250970e-01,3.580661070855029049e-01,3.495933884844490969e-01
8.324120603015076059e-01,4.090397491156791410e-01,3.867163087283026490e-01,3.705514467450146676e-01,3.587233546651142913e-01,3.500697153538128714e-01
8.373366834170854478e-01,4.107468854244151757e-01,3.879676823769082072e-01,3.714699717542865320e-01,3.593942742470891405e-01,3.505561148008212724e-01
8.422613065326634008e-01,4.124890052392753970e-01,3.892451050492468645e-01,3.724079657897438889e-01,3.600796746526745973e-01,3.510531829463328646e-01
8.471859296482412427e-01,4.142682677014731252e-01,3.905501756653978473e-01,3.733666178457910045e-01,3.607804378810920420e-01,3.515615698921727428e-01
8.521105527638190846e-01,4.160870331731549854e-01,3.918846423554423475e-01,3.743472280061926893e-01,3.614975284101847874e-01,3.520819865864110443e-01
8.570351758793970376e-01,4.179478896564084445e-01,3.932504220515885551e-01,3.753512220341373995e-01,3.622320040335648694e-01,3.526152128234462113e-01
8.619597989949748795e-01,4.198536837266372834e-01,3.946496234287444893e-01,3.763801684564974659e-01,3.629850285510959340e-01,3.531621066129996822e-01
8.668844221105528325e-01,4.218075569444677542e-01,3.960845739087900386e-01,3.774357986751716298e-01,3.637578867087971624e-01,3.537236152107053888e-01
8.718090452261306744e-01,4.238129889604656531e-01,3.975578516293730158e-01,3.785200307766781735e-01,3.645520018870599399e-01,3.543007881789727032e-01
8.767336683417086274e-01,4.258738488543256651e-01,3.990723235209556186e-01,3.796349978921728652e-01,3.653689571706467132e-01,3.548947929462945572e-01
8.816582914572864693e-01,4.279944566828077224e-01,4.006311909568205376e-01,3.807830821992687076e-01,3.662105206118059786e-01,3.555069334646650536e-01
8.865829145728643113e-01,4.301796577883201245e-01,4.022380448693431143e-01,3.819669559764432565e-01,3.670786757353378671e-01,3.561386727403830221e-01
